name,lat,lng,location,subcategory
Cafe Josef Heinrich,52.4482153,13.62463558,Berlin,Bar
Chapel,52.505715,13.466393,Berlin,Bar
Melody Nelson Bar,52.52816,13.388831,Berlin,Bar
degendorff,52.51918162,13.45246039,Berlin,Bar
Bar,52.480518,13.275036,Berlin,Bar
Topolino,52.46451534,13.32080614,Berlin,Bar
Alter Schwede,52.55612,13.374701,Berlin,Bar
Bar Südwest,52.46860145,13.31320048,Berlin,Bar
PTwo,52.43880916,13.55083719,Berlin,Bar
Lichtenrader Eck,52.41447819,13.40124632,Berlin,Bar
Zum Tröpfchen,52.55557312,13.16519483,Berlin,Bar
Café Bar Avci,52.510369,13.50080255,Berlin,Bar
Geist im Glas,52.49002779,13.4248127,Berlin,Bar
Cafe Binz,52.56389023,13.42241207,Berlin,Bar
Fabelhaft Bar,52.4921655,13.42111754,Berlin,Bar
Germania-Eck,52.460513,13.429897,Berlin,Bar
Filmkunstbar,52.49611259,13.42896167,Berlin,Bar
Dings without a name,52.48291743,13.44168663,Berlin,Bar
Bravo Bar,52.52731162,13.3880048,Berlin,Bar
Mark's Home,52.467305,13.389684,Berlin,Bar
Sofa Bar,52.49431857,13.42910738,Berlin,Bar
Bär Linchen,52.538804,13.2062,Berlin,Bar
Willy Möller,52.47332653,13.4267904,Berlin,Bar
Zum Hufeisen,52.41238044,13.34770203,Berlin,Bar
paaaty,52.43264532,13.38148383,Berlin,Bar
Filou Dart Billard Kicker Kneipe,52.47388448,13.42321996,Berlin,Bar
Cafe Z,52.5256854,13.30724084,Berlin,Bar
rias,52.50127015,13.42813405,Berlin,Bar
Dirty South,52.51051424,13.45800519,Berlin,Bar
yinyang,52.443814,13.228902,Berlin,Bar
Vebereck,52.50540073,13.46681213,Berlin,Bar
Aribar,52.49064444,13.52140524,Berlin,Bar
marquee,52.53600404,13.39753078,Berlin,Bar
Kon Tiki,52.44373391,13.30350334,Berlin,Bar
Yucca Bar,52.52107618,13.58996601,Berlin,Bar
Laidak,52.48000463,13.42842197,Berlin,Bar
Crack Bellmer Bar,52.507656,13.454698,Berlin,Bar
Berlinicke Stuben,52.466518,13.377168,Berlin,Bar
MCA 24,52.50783539,13.50268078,Berlin,Bar
Captains Bar,52.42625701,13.64042743,Berlin,Bar
Kunstpause,52.554095,13.436121,Berlin,Bar
L.A. Bar,52.46585083,13.38028942,Berlin,Bar
Sportsbar 13,52.49585667,13.52407702,Berlin,Bar
Bagatelle,52.51458398,13.46754499,Berlin,Bar
Kapitel 21,52.53424727,13.35895267,Berlin,Bar
Billiard Oase,52.44031141,13.60152528,Berlin,Bar
Joni's,52.43184547,13.22357495,Berlin,Bar
Bica - Billard & Café,52.53936733,13.60319443,Berlin,Bar
Aperto Bar,52.52825849,13.38769913,Berlin,Bar
moto,52.55225555,13.41286847,Berlin,Bar
brausturi,52.44668579,13.62399197,Berlin,Bar
Sportsbar Fifty Two,52.43528307,13.54517697,Berlin,Bar
Mathilda Bar,52.48635556,13.4463612,Berlin,Bar
Longus,52.48722838,13.18249467,Berlin,Bar
vesbartilio,52.55233737,13.44934164,Berlin,Bar
Zum kühlen Grund,52.617798,13.326712,Berlin,Bar
o2 World Premium Lounge,52.50615148,13.44286232,Berlin,Bar
Fitcher’s Vogel,52.51046991,13.45149704,Berlin,Bar
Qba,52.46328649,13.48418999,Berlin,Bar
Freudenreich,52.48428086,13.43489226,Berlin,Bar
Shibari Bar,52.49155,13.39060965,Berlin,Bar
The Zone,52.481212,13.429497,Berlin,Bar
Holzwurm,52.528065,13.3308,Berlin,Bar
Heinz Schüftan,52.49022349,13.42898212,Berlin,Bar
Aber Hallo,52.56383514,13.37761974,Berlin,Bar
Bänsch,52.51758828,13.4699639,Berlin,Bar
Vater,52.48680197,13.4288482,Berlin,Bar
Lale,52.55415328,13.34543054,Berlin,Bar
Shoko bar,52.4263382,13.6415453,Berlin,Bar
t Berlin,52.48718058,13.38913886,Berlin,Bar
bomati,52.58486176,13.34444427,Berlin,Bar
Calimero,52.56735148,13.36276531,Berlin,Bar
Zum Froschkönig,52.57236428,13.41622666,Berlin,Bar
Schillerbar,52.47733307,13.42405891,Berlin,Bar
Daniel's,52.541913,13.456935,Berlin,Bar
Volksbar,52.52678661,13.41101612,Berlin,Bar
Culpepper,52.53464024,13.33140561,Berlin,Bar
bei Brian aka BO 3,52.45636241,13.58298125,Berlin,Bar
12° Aetherloge,52.51515915,13.45928387,Berlin,Bar
Sport Casino BSV,52.483086,13.303409,Berlin,Bar
Yuppis,52.46556473,13.48699188,Berlin,Bar
Bachlorparty,52.58313751,13.30756092,Berlin,Bar
Skylounge,52.42546403,13.46963787,Berlin,Bar
Zaffke Bar,52.53343871,13.35032897,Berlin,Bar
P2 Cocktail-Bar,52.54571158,13.5930819,Berlin,Bar
Höhencafé,52.4223,13.4598,Berlin,Bar
Vox Bar,52.50800675,13.37293625,Berlin,Bar
Moonlight,52.41595078,13.36440563,Berlin,Bar
rudower biliardbar,52.44244318,13.45660698,Berlin,Bar
Vdst Berlin Tresen,52.43194,13.260841,Berlin,Bar
Alptraum 2,52.47986526,13.42545575,Berlin,Bar
Deja Vu,52.54268,13.203063,Berlin,Bar
Souterrain,52.58592018,13.40711832,Berlin,Bar
Atopia,52.5417137,13.42543687,Berlin,Bar
Art & Champagne,52.49986094,13.30921794,Berlin,Bar
Interface,52.53291035,13.35102218,Berlin,Bar
Ratskeller,52.53412344,13.19638232,Berlin,Bar
Cicero's,52.494858,13.302277,Berlin,Bar
Clandestine,52.45297293,13.3199679,Berlin,Bar
centrovital bar,52.55041489,13.20677087,Berlin,Bar
El Bardoni,52.555164,13.371788,Berlin,Bar
Alter Roter Löwe Rein,52.47578844,13.44318867,Berlin,Bar
WA09,52.402171,13.573561,Berlin,Bar
HERMAN,52.5322741,13.41225267,Berlin,Bar
Lang Bar,52.50543543,13.33271061,Berlin,Bar
Home Sweet Home,52.528847,13.470251,Berlin,Bar
Zum Bierfreund,52.53393723,13.49147518,Berlin,Bar
Sugar,52.52991634,13.3414793,Berlin,Bar
Pferdestall,52.4429245,13.3805418,Berlin,Bar
Scout-Bar,52.512359,13.430982,Berlin,Bar
Else's Party Location,52.514149,13.492129,Berlin,Bar
Dietrich's,52.49966739,13.34922515,Berlin,Bar
Präpeleck,52.55575544,13.38381692,Berlin,Bar
G&T Bar,52.52579821,13.38746683,Berlin,Bar
Cocktailbar Laila,52.57032776,13.56645298,Berlin,Bar
Cafe Carow,52.524688,13.304139,Berlin,Bar
Bar XXX Café,52.497551,13.346981,Berlin,Bar
Moritz,52.54795614,13.36684058,Berlin,Bar
Metropol,52.45630264,13.3839922,Berlin,Bar
Keine Eile,52.4833003,13.38291355,Berlin,Bar
Keglerheim,52.474349,13.452366,Berlin,Bar
Imma Uff,52.50671768,13.29226494,Berlin,Bar
D's Partystadl,52.60224472,13.30248082,Berlin,Bar
Jungbusch,52.48760368,13.43141286,Berlin,Bar
Hozan,52.566571,13.362233,Berlin,Bar
NY Berlin by Lanninger,52.49971008,13.31434155,Berlin,Bar
Beim Hoff xD,52.582927,13.295897,Berlin,Bar
Zum Heinzelmann,52.47390056,13.44205619,Berlin,Bar
Hangover,52.45333952,13.57458428,Berlin,Bar
Ω Bar,52.47161897,13.44282925,Berlin,Bar
Our/Berlin,52.49702173,13.45088124,Berlin,Bar
4lions,52.547412,13.211473,Berlin,Bar
Mit Rauchzone,52.548985,13.348521,Berlin,Bar
Uhland-Eck,52.48654159,13.32028654,Berlin,Bar
Team Awesome HQ,52.54279911,13.4393934,Berlin,Bar
Zum Anker,52.484068,13.439588,Berlin,Bar
Bar Vesper,52.49963282,13.30475403,Berlin,Bar
wunderbar,52.56549835,13.57166195,Berlin,Bar
Linda Carrell,52.54804636,13.40972294,Berlin,Bar
A Park Bei Moppy,52.43495,13.521807,Berlin,Bar
Frolic Lounge,52.445393,13.574297,Berlin,Bar
Kino Zukunft Bar,52.501648,13.465699,Berlin,Bar
Golden Lounge,52.55972327,13.38708935,Berlin,Bar
Zum Jurić's,52.446435,13.624769,Berlin,Bar
Club Deportivo Latino,52.56357113,13.35689872,Berlin,Bar
Unsere alte 50,52.61087855,13.31634261,Berlin,Bar
M 26,52.53544617,13.27114201,Berlin,Bar
Bonbon Bar,52.5295806,13.39982878,Berlin,Bar
Drachenhöhle,52.565408,13.39447,Berlin,Bar
Zum Eichborn,52.58064222,13.31854522,Berlin,Bar
Galander,52.50526828,13.30079002,Berlin,Bar
Havana Bar - Cigar,52.566743,13.397169,Berlin,Bar
Feierabend,52.45740847,13.52817178,Berlin,Bar
Badenscher Hof,52.48860108,13.33036174,Berlin,Bar
Arena Bar 1136,52.50687027,13.51197529,Berlin,Bar
Bizimkiler,52.54520416,13.22815228,Berlin,Bar
East Side Bar,52.51100757,13.43552492,Berlin,Bar
The Tipperary,52.54308172,13.35627483,Berlin,Bar
Kubata,52.53225026,13.45344225,Berlin,Bar
Bar Resi,52.53267554,13.34995072,Berlin,Bar
Zum Büro,52.469825,13.32006,Berlin,Bar
Lindenblatt,52.465926,13.324075,Berlin,Bar
Oblomov,52.490161,13.426034,Berlin,Bar
Flair,52.49515947,13.33461318,Berlin,Bar
Tina's Bierbar,52.51245356,13.46921282,Berlin,Bar
"Trude, Ruth und Goldammer",52.4812251,13.42774859,Berlin,Bar
Max-Bar,52.410344,13.403377,Berlin,Bar
Forsberg,52.54446947,13.36953491,Berlin,Bar
Ronnys Klo,52.55165994,13.57638652,Berlin,Bar
Stübchen am Hafen,52.45525559,13.3845009,Berlin,Bar
La Poppette,52.470072,13.427322,Berlin,Bar
holi Festival Couch,52.50788879,13.24063492,Berlin,Bar
Lilly's Wonderland Bar,52.44436466,13.5772178,Berlin,Bar
Generator Bar,52.52520325,13.3913492,Berlin,Bar
Oh!Calcutta,52.55524041,13.37705031,Berlin,Bar
Backstage bei Thomas,52.53726578,13.52955723,Berlin,Bar
Cafe Staff,52.56121063,13.38080692,Berlin,Bar
Du Beast,52.48232285,13.44516277,Berlin,Bar
Kneipenkönig,52.52885105,13.19361332,Berlin,Bar
Coba,52.500427,13.439722,Berlin,Bar
Dufte Musibar,52.46279942,13.44110323,Berlin,Bar
Trabant,52.603138,13.362557,Berlin,Bar
Sport's Bar,52.595274,13.332407,Berlin,Bar
Moe's New Bar,52.467754,13.324928,Berlin,Bar
Domino,52.507061,13.59848309,Berlin,Bar
Omega Bar,52.47140984,13.44256639,Berlin,Bar
Mastul,52.55307674,13.35751823,Berlin,Bar
Coma,52.553104,13.3783,Berlin,Bar
Eiche,52.56823241,13.39907714,Berlin,Bar
No Bar,52.497752,13.312014,Berlin,Bar
Zur Kegel-Stube,52.5573825,13.39554403,Berlin,Bar
M8 Kneipe/Bar,52.458995,13.320602,Berlin,Bar
Coconut Bar,52.53764532,13.60344897,Berlin,Bar
iLand Berlin,52.454414,13.38558,Berlin,Bar
Bar am Lützowplatz,52.50462093,13.35323706,Berlin,Bar
Kegler-Eck,52.51713562,13.28140259,Berlin,Bar
lucky's,52.46196747,13.43464184,Berlin,Bar
Cafe 7&7,52.455404,13.437352,Berlin,Bar
Remix,52.42044,13.499491,Berlin,Bar
Dujardin,52.55085692,13.37372638,Berlin,Bar
Schuckert Höfe / Haus F,52.487213,13.461847,Berlin,Bar
Hannibal,52.484551,13.352548,Berlin,Bar
Velvet,52.47892705,13.43860537,Berlin,Bar
Pan Rolf,52.53180313,13.20467281,Berlin,Bar
Be inSide Lounge Bar,52.597949,13.354004,Berlin,Bar
Caffee Perle,52.53582493,13.35704522,Berlin,Bar
Bar 17,52.451186,13.336495,Berlin,Bar
blauer affe,52.58018875,13.4006834,Berlin,Bar
baumer lounge,52.55070114,13.4609499,Berlin,Bar
Steini,52.46028137,13.52922535,Berlin,Bar
Bolzplatz Schreinerstraße,52.51708388,13.46768511,Berlin,Baseball Field
Flingo Ball Park,52.59993624,13.34982874,Berlin,Baseball Field
Flamingo Ballpark,52.60042803,13.34921479,Berlin,Baseball Field
Berlin Sluggers Stadion,52.42431097,13.45359258,Berlin,Baseball Field
Softballfeld 1 | Tempelhof Park,52.48205935,13.40573528,Berlin,Baseball Field
Dragons BallPark,52.52685807,13.2148959,Berlin,Baseball Field
Homefield Roadrunners Berlin,52.56413992,13.45624688,Berlin,Baseball Field
Berlin Roadrunners Kids Field,52.56246625,13.45489349,Berlin,Baseball Field
Ditiwo,52.42460959,13.46978793,Berlin,Baseball Field
Streetballcourt Wu-Tang,52.59593643,13.36614769,Berlin,Basketball Court
Sporthalle Charlottenburg,52.52356269,13.30554072,Berlin,Basketball Court
Basketball | Mellowpark,52.45534253,13.56041193,Berlin,Basketball Court
BSC-Tenniscasino,52.48226844,13.29719772,Berlin,Basketball Court
Sporthalle Woelkpromenade,52.553057,13.455795,Berlin,Basketball Court
Linden Grundschule,52.53463962,13.14045435,Berlin,Basketball Court
Grundschule am Buschgraben,52.422764,13.237141,Berlin,Basketball Court
Neee,52.497365,13.522936,Berlin,Basketball Court
FORTUNA Spielplatz,52.55953343,13.57105854,Berlin,Basketball Court
Basketball Court Teikyo,52.36919856,13.65090189,Berlin,Basketball Court
TuS Neukölln 1865 @ SV Buckow 1897,52.41878031,13.43743801,Berlin,Basketball Court
Basketball Corner,52.522153,13.592051,Berlin,Basketball Court
ebay Basketball Court,52.40688318,13.18672198,Berlin,Basketball Court
"Sportplatz ""Am Breiten Luch""",52.567688,13.508083,Berlin,Basketball Court
Basketball Berlin Süd e.V.,52.41616289,13.34542751,Berlin,Basketball Stadium
Strandbad Tegeler See,52.5777843,13.2451129,Berlin,Beach
Strandbad Wannsee,52.4383537,13.17707062,Berlin,Beach
BeachMitte,52.53376846,13.3848378,Berlin,Beach
Strandbad Wendenschloss,52.4151944,13.60013008,Berlin,Beach
Licht- und Luftbad Müggelsee (FKK-Strand),52.44595305,13.67281795,Berlin,Beach
Lieper Bucht,52.46947042,13.1964675,Berlin,Beach
Strand am Kleinen Müggelsee,52.42833258,13.67733479,Berlin,Beach
Ku'Damm Beach,52.49429673,13.28197229,Berlin,Beach
Teufelssee,52.49041111,13.23427677,Berlin,Beach
Seewiese am Seestern,52.440167,13.21044,Berlin,Beach
Alter Hof,52.43309486,13.14303875,Berlin,Beach
Sandstrand,52.45626902,13.18859882,Berlin,Beach
mitten im Stößensee,52.50303966,13.19161138,Berlin,Beach
Kaulsdorfer See,52.49128877,13.59520711,Berlin,Beach
Badebucht Müggelsee,52.42859426,13.62442017,Berlin,Beach
Platzhirsch Berlin / Piratenstrand,52.48238819,13.49756241,Berlin,Beach
Habermannsee,52.4935467,13.59304905,Berlin,Beach
Tiergartenufer,52.51808933,13.35992624,Berlin,Beach
Wasserrettungsstation Jagen 95,52.43268893,13.14255387,Berlin,Beach
Steg & Beach | Mellowpark,52.45472796,13.56157064,Berlin,Beach
heavenly nice,52.469869,13.497668,Berlin,Beach
Dog Beach,52.470612,13.264449,Berlin,Beach
Rettungsstation Reiswerder,52.56818946,13.2559678,Berlin,Beach
Kleiner Wall,52.552112,13.215505,Berlin,Beach
7 Beach,52.54311253,13.32986879,Berlin,Beach
Strand Wasserrettungsstation Sandhausen,52.59454607,13.22276987,Berlin,Beach
Dog Beach 2 Grunewaldsee,52.47114768,13.26245935,Berlin,Beach
Lagune der geistig Kranken Griller,52.584318,13.266726,Berlin,Beach
Hansa-Ufer,52.49179602,13.48061085,Berlin,Beach
Badestelle Krumme Lanke,52.45439452,13.23954463,Berlin,Beach
Bammelecke,52.40755271,13.61896378,Berlin,Beach
Badestrand,52.44341422,13.62124178,Berlin,Beach
Bolleufer,52.49443508,13.48268151,Berlin,Beach
Badestrand Havelchaussee,52.45874149,13.18940879,Berlin,Beach
Wasserrettungsstation Grosses Fenster,52.45157269,13.1926493,Berlin,Beach
Pohlesee,52.41243001,13.15056334,Berlin,Beach
Wannsee Strandkorb 361,52.43854032,13.1769831,Berlin,Beach
Playa del Rummelsburgo,52.4821149,13.49725978,Berlin,Beach
Strand am Zeuthener See,52.378111,13.674802,Berlin,Beach
Schwanwerder,52.45207594,13.14857487,Berlin,Beach
Lattes Herz <3,52.56576025,13.32418442,Berlin,Beach
BerlinMan-Triathlon,52.43275804,13.18574965,Berlin,Beach
HTW Berlin - Beach,52.4549815,13.52429351,Berlin,Beach
Seegelschule Heering,52.47144014,13.19759052,Berlin,Beach
Rummelsburger Ufer | Wiese,52.49583775,13.48074375,Berlin,Beach
Badewiese Schmöckwitz,52.3742368,13.65358114,Berlin,Beach
Siedlerverein Karolinenhof,52.39143189,13.63722688,Berlin,Beach
Strand am Kuhhorn,52.488213,13.190922,Berlin,Beach
Badestelle an der Krummen Lake,52.41978171,13.68163221,Berlin,Beach
Flußbad Gartenstraße,52.44104767,13.57612228,Berlin,Beach
Badewiese 1337 23 42,52.40750743,13.61933563,Berlin,Beach
badewiese 1337 23 42,52.40756003,13.61929,Berlin,Beach
Badewiese 1337 23 42,52.4075,13.6193,Berlin,Beach
Müllerecke,52.43651228,13.57234162,Berlin,Beach
Teikyo Beach,52.36919856,13.65090189,Berlin,Beach
"Haus am Wannsee,Badeweg 7",52.4349244,13.18006859,Berlin,Beach
liebesinsel,52.48748515,13.49173727,Berlin,Beach
Einsteinufer,52.5206,13.3217,Berlin,Beach
Badestrand Reisweder,52.568159,13.25615,Berlin,Beach
Fussbad,52.38251495,13.68232822,Berlin,Beach
Wuhle Beach Chilloutzone,52.50102553,13.57187269,Berlin,Beach
Schlange vorm Freibad Plötzensee,52.54141732,13.33016689,Berlin,Beach
Badestelle Dame,52.406859,13.612348,Berlin,Beach
Borkenstrand,52.443163,13.676598,Berlin,Beach
Schleusenkanal,52.53019556,13.29485685,Berlin,Beach
Badestelle Großes Fenster,52.45068479,13.18837265,Berlin,Beach
Planschwiese,52.54413113,13.28689358,Berlin,Beach
Badestelle Havel Sandhauser Straße,52.590678,13.222127,Berlin,Beach
Dort unten an der Havel,52.488275,13.191114,Berlin,Beach
Future Fast Forward Offices,52.543064,13.221214,Berlin,Beach
Badestrand Jungfernheide,52.54367744,13.28412077,Berlin,Beach
Rabbit Beach,52.466759,13.340898,Berlin,Beach
Floß los,52.44713593,13.6698885,Berlin,Beach
Golgatha,52.48675263,13.37860107,Berlin,Beer Garden
Deichgraf,52.539833,13.35203955,Berlin,Beer Garden
Lindengarten,52.53947,13.350303,Berlin,Beer Garden
Wirtshaus Schildhorn,52.49408725,13.1978175,Berlin,Beer Garden
Hasenschänke,52.48267167,13.41632767,Berlin,Beer Garden
Dampfa Eck,52.45612988,13.15948338,Berlin,Beer Garden
Zur Linde,52.51678235,13.28736305,Berlin,Beer Garden
Biergarten am Orankesee,52.54755923,13.48256632,Berlin,Beer Garden
Valentin,52.48876483,13.41113091,Berlin,Beer Garden
Bootshaus,52.47463362,13.49611353,Berlin,Beer Garden
Rosengarten,52.53285333,13.40349197,Berlin,Beer Garden
Banjaluka,52.50045278,13.444011,Berlin,Beer Garden
Waldhaus,52.51048234,13.20838541,Berlin,Beer Garden
Teichterrasse,52.54339278,13.27484696,Berlin,Beer Garden
Biergarten,52.473562,13.457945,Berlin,Beer Garden
Insel Garden,52.48673935,13.48155861,Berlin,Beer Garden
Moritz's Crib,52.466671,13.276461,Berlin,Beer Garden
Gaywiesn,52.52674418,13.37182045,Berlin,Beer Garden
Alex Birks HQ auf der ITB 2011 c/o Best Western Halle 9,52.50292813,13.27678134,Berlin,Beer Garden
Brunos Sommergarten,52.444371,13.570418,Berlin,Beer Garden
Caprivi,52.52079023,13.30719509,Berlin,Beer Garden
Biergarten in der Freiheit Fünfzehn,52.44797921,13.57677192,Berlin,Beer Garden
Metaxa Bay,52.52679811,13.37215156,Berlin,Beer Garden
Biergarten Hubertusbaude,52.4045445,13.14148994,Berlin,Beer Garden
Vatertag,52.40962275,13.40128261,Berlin,Beer Garden
Alt-Berliner Bierlokal,52.438703,13.461461,Berlin,Beer Garden
Summer Party T-Labs,52.456931,13.159417,Berlin,Beer Garden
Clou Corner's Biergarten,52.5634205,13.3277886,Berlin,Beer Garden
Gestrandet am Müggelsee,52.44418247,13.62710476,Berlin,Beer Garden
Lichtpark,52.511693,13.42394458,Berlin,Beer Garden
Kastaniengarten,52.54333799,13.32621908,Berlin,Beer Garden
Gartenparty,52.484143,13.517225,Berlin,Beer Garden
Oktoberfest,52.55010437,13.30559697,Berlin,Beer Garden
VIVA an der Kindl-Bühne Wuhlheide,52.461027,13.546035,Berlin,Beer Garden
Biergarten Eddi,52.46183784,13.43797172,Berlin,Beer Garden
Stephaner Biergarten,52.45178223,13.14774895,Berlin,Beer Garden
Bauernstube,52.556395,13.402028,Berlin,Beer Garden
Ratskeller Charlottenburg,52.51734442,13.30770819,Berlin,Beer Garden
Grießmühle,52.47483433,13.45739365,Berlin,Beer Garden
Campixx Experten-Bier-Session,52.425644,13.642654,Berlin,Beer Garden
Hartwig's BBQ VIP Lounge,52.44120196,13.42573987,Berlin,Beer Garden
Ungarische Gaststätte,52.556327,13.42166,Berlin,Beer Garden
Wirtshaus Am Fließ,52.616373,13.317503,Berlin,Beer Garden
P.,52.48292923,13.50858784,Berlin,Beer Garden
Bootshaus Sportdenkmal,52.409294,13.604698,Berlin,Beer Garden
wambader hof,52.49253082,13.53232479,Berlin,Beer Garden
Französiches Gourmet-& Weindorf,52.5508553,13.305587,Berlin,Beer Garden
Bistro Domino,52.419367,13.305692,Berlin,Beer Garden
große Polterparty mit Bier und trallalla,52.598447,13.303648,Berlin,Beer Garden
Estrel Sommergarten,52.47347557,13.45828433,Berlin,Beer Garden
BFC Dynamo Vereinsheim,52.54012343,13.47753726,Berlin,Beer Garden
Biergarten am Köpenicker Hof,52.45931244,13.58581829,Berlin,Beer Garden
Mecki Dorf,52.45236776,13.57474686,Berlin,Beer Garden
Jans Biergarten,52.56368585,13.42113173,Berlin,Beer Garden
Zur Alten Feuerwache,52.392776,13.41066,Berlin,Beer Garden
Spree Wies'n Oktoberfest,52.527151,13.372889,Berlin,Beer Garden
Hertha Union Fantreffen,52.463502,13.366428,Berlin,Beer Garden
Bier Bar Schneider ^^,52.45762634,13.44125366,Berlin,Beer Garden
WBB Willner Brauerei Berlin,52.555813,13.41491,Berlin,Beer Garden
"""Le Kon""",52.548457,13.456826,Berlin,Beer Garden
Filou,52.43894,13.300891,Berlin,Beer Garden
Eichenklause,52.46110025,13.54556581,Berlin,Beer Garden
Piraten-Garten,52.61025313,13.46883975,Berlin,Beer Garden
Ela's Biergarten,52.448907,13.600905,Berlin,Beer Garden
elBasto's Apartment,52.545552,13.199441,Berlin,Beer Garden
Manu's Biergarten,52.541554,13.138612,Berlin,Beer Garden
beim stecher,52.460751,13.435045,Berlin,Beer Garden
Sommergarten am Wasserturm,52.54361518,13.29098284,Berlin,Beer Garden
Klunkerkranich,52.48213067,13.43145083,Berlin,Beer Garden
Hofcafé,52.462612,13.514946,Berlin,Beer Garden
Vereinsheim Oeynhausen,52.47809104,13.29846238,Berlin,Beer Garden
Cafe Egal,52.522483,13.300591,Berlin,Beer Garden
Haus Des Malukis,52.411134,13.267091,Berlin,Beer Garden
Am Grüngürtel,52.55117342,13.19374811,Berlin,Beer Garden
Emils Biergarten,52.55573478,13.41463907,Berlin,Beer Garden
Tinis Kneipchen,52.606987,13.363518,Berlin,Beer Garden
Hauptstadt Oase Berlin,52.47034836,13.3719902,Berlin,Beer Garden
Dahme Biergarten Köpenick,52.437864,13.578444,Berlin,Beer Garden
Oktoberfest Am Alexanderplatz,52.5217159,13.41374726,Berlin,Beer Garden
B&S Hauptquartier ( sponsored by Jägermeister ),52.542618,13.153901,Berlin,Beer Garden
East Side Bowling,52.51257759,13.43464851,Berlin,Bowling Alley
Berolina Bowling,52.500768,13.3513405,Berlin,Bowling Alley
Bowlingcenter Schillerpark,52.55268917,13.35143566,Berlin,Bowling Alley
American Bowl,52.54151219,13.54256349,Berlin,Bowling Alley
BOWLERO,52.5197398,13.46679211,Berlin,Bowling Alley
Nordbowling,52.56474445,13.32742505,Berlin,Bowling Alley
US-Bowl,52.56215555,13.45970909,Berlin,Bowling Alley
Neue City Bowling,52.48639983,13.4218061,Berlin,Bowling Alley
Bowling am Studio,52.50953068,13.27698933,Berlin,Bowling Alley
Strike Lanes,52.51927747,13.41535971,Berlin,Bowling Alley
Speed Bowling,52.56127321,13.42224598,Berlin,Bowling Alley
Tower Bowling,52.42278467,13.5400486,Berlin,Bowling Alley
BowlHouse,52.53619473,13.45104218,Berlin,Bowling Alley
Bowl Play,52.58500344,13.285583,Berlin,Bowling Alley
Cöpenicker Bowling Center,52.45496386,13.59060496,Berlin,Bowling Alley
Bowlingcenter Hellersdorf,52.52766283,13.58821602,Berlin,Bowling Alley
Sportkegelhalle Völkerfreundschaft,52.452341,13.523382,Berlin,Bowling Alley
Big Bowl,52.52074832,13.497244,Berlin,Bowling Alley
Bowlarena Spandau,52.54927227,13.15622744,Berlin,Bowling Alley
Bowling-Center Glienicker Spitze,52.63176816,13.31034887,Berlin,Bowling Alley
Kegelhalle Hämmerlingstr. (Alte Försterei),52.459897,13.572352,Berlin,Bowling Alley
Fortuna Bowling,52.54144126,13.56393099,Berlin,Bowling Alley
Brunswick Bowling Center,52.42567647,13.6421442,Berlin,Bowling Alley
Inselbowling,52.426091,13.392199,Berlin,Bowling Alley
Brunswick 8,52.42607138,13.39148625,Berlin,Bowling Alley
Cbc,52.45487034,13.59149132,Berlin,Bowling Alley
Bowling Treff,52.556845,13.570611,Berlin,Bowling Alley
Bowling Lounge Berlin,52.51235559,13.47775698,Berlin,Bowling Alley
Ihiii,52.467276,13.490025,Berlin,Bowling Alley
Kegelbahn Bismarck,52.580504,13.400128,Berlin,Bowling Alley
Bowling Spreehöfe,52.461426,13.512881,Berlin,Bowling Alley
Fun Bowling,52.5335363,13.51845558,Berlin,Bowling Alley
Joker Bowl,52.436932,13.565356,Berlin,Bowling Alley
Vejenpigerne i Berlin,52.488598,13.392059,Berlin,Bowling Alley
BrewBaker,52.527356,13.33863616,Berlin,Brewery
Hops & Barley,52.508866,13.46051377,Berlin,Brewery
Eschenbräu,52.54364179,13.35959413,Berlin,Brewery
Schalander,52.5172,13.471607,Berlin,Brewery
Brauhaus Südstern,52.48847544,13.410415,Berlin,Brewery
Rollberger Brauerei,52.47938248,13.43138695,Berlin,Brewery
Sputnik Partybus,52.56752181,13.31024338,Berlin,Brewery
Bürgerbräu Biergarten,52.44575687,13.62467766,Berlin,Brewery
Oles Niederlage im letzten Fifaspiel des Abends,52.389657,13.423978,Berlin,Brewery
Berliner-Kindl-Schultheiss-Brauerei,52.5425915,13.46945094,Berlin,Brewery
Schlossplatzbrauerei Coepenick,52.44468907,13.57437668,Berlin,Brewery
Brauhaus Bohnsdorf,52.40188127,13.56519213,Berlin,Brewery
G-punkt Zone,52.57093811,13.4163084,Berlin,Brewery
Берлинское убежище,52.459113,13.317061,Berlin,Brewery
Zum Rohreck,52.53722294,13.26456565,Berlin,Brewery
Chris's Castle,52.51304039,13.55886753,Berlin,Brewery
Schollenfest 2012,52.60019367,13.3034897,Berlin,Brewery
Biergarten BBB,52.55572796,13.41503819,Berlin,Brewery
Vagabund Brauerei,52.54804726,13.34977459,Berlin,Brewery
Augustiner Terminal C,52.555685,13.294782,Berlin,Brewery
Oberbaumbrücke,52.50177658,13.44570994,Berlin,Bridge
Warschauer Brücke,52.50670071,13.44962597,Berlin,Bridge
Modersohnbrücke,52.50502239,13.45813394,Berlin,Bridge
Gotzkowskybrücke,52.52254038,13.32905531,Berlin,Bridge
Frohnauer Brücke,52.63304987,13.2894659,Berlin,Bridge
Monumentenbrücke,52.48794167,13.37220669,Berlin,Bridge
Triglawbrücke,52.42067784,13.72196674,Berlin,Bridge
Russenbrücke,52.41905659,13.72084154,Berlin,Bridge
